personID,label,fullname,years,gender
59357,"Vardill, John","Vardill, John (1749-1811)",1749-1811,Man
60131,"Wilson, Thomas","Wilson, Thomas (1703-1784)",1703-1784,Man
RN-PER-0011,,,,
48620,"Athawes, Samuel","Athawes, Samuel (1734-1822)",1734-1822,Man
50925,"Cresap, Michael","Cresap, Michael (1742-1775)",1742-1775,Man
60330,"Yates, Charles","Yates, Charles (1728-1809)",1728-1809,Man
257021,"Ingenhousz, Jan","Ingenhousz, Jan (1730-1799)",1730-1799,Man
58947,"Thompson, Richard","Thompson, Richard",-,Man
56365,"Oliver, Thomas","Oliver, Thomas (1734-1815)",1734-1815,Man
52623,"Gordon, William","Gordon, William (1728-1807)",1728-1807,Man
54416,"Lanphier, Going","Lanphier, Going (1727-1813)",1727-1813,Man
249850,"Eden, Thomas","Eden, Thomas",-,Man
55726,"Milnor, William","Milnor, William (1737-1807)",1737-1807,Man
54582,"Lee, Richard Henry","Lee, Richard Henry (1732-1794)",1732-1794,Man
53081,"Hare, Robert","Hare, Robert (1752-1812)",1752-1812,Man
RN-ORG-0044,,,,
348405,"Elliott, Grey","Elliott, Grey",-1787,Man
49213,"Black, William","Black, William (1720-1782)",1720-1782,Man
RN-ORG-0272,,,,
56927,"Pollock, Thomas","Pollock, Thomas",-,Man
59188,"Tunstall, Richard","Tunstall, Richard (b. 1700)",1700-,Man
60200,"Woelpper, John David","Woelpper, John David (1709-1797)",1709-1797,Man
50694,"Condorcet, Marie-Jean-Antoine-Nicolas de Caritat, marquis de","Condorcet, Marie-Jean-Antoine-Nicolas de Caritat, marquis de (1743-1794)",1743-1794,Man
347730,"Caffiéri, Mr., l'ainé","Caffiéri, Mr., l'ainé",-,Man
51762,"Ellis, John","Ellis, John (1754-1826)",1754-1826,Man
53486,"Hog, Peter","Hog, Peter (1703-1782)",1703-1782,Man
