DocumentID,Title,Author,Recipient,Date,Publication,Founders Online,Rotunda,authorIDs,recipientIDs,Location,geonameId,coordinates,latitude,longitude,country_code,country_name,admin1,admin2,hierarchy
FOEA-01-02-02-3501,"From George Washington to Comfort Sands, 16 September 1782","Washington, George","Sands, Comfort",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3501,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3501,59627,57750,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3502,"From George Washington to Arthur St. Clair, 16 September 1782","Washington, George","St. Clair, Arthur, Sr.",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3502,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3502,59627,58447,Head Quarters,,,,,,,,,
FOEA-01-02-02-3503,"From George Washington to Louis-Philippe de Rigaud, marquis de Vaudreuil, 16 September 1782","Washington, George","Vaudreuil, Louis-Philippe de Rigaud, marquis de",1782-09-16,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3503,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3503,59627,59368,Head Quarters,,,,,,,,,
FOEA-01-02-02-3508,"From George Washington to David Hopkins, 17 September 1782","Washington, George","Hopkins, David",1782-09-17,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3508,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3508,59627,53567,Head Quarters,,,,,,,,,
FOEA-01-02-02-3510,"From George Washington to Henry Knox, 17 September 1782","Washington, George","Knox, Henry",1782-09-17,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3510,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3510,59627,54321,Head Quarters,,,,,,,,,
FOEA-01-02-02-3511,"From George Washington to Henry Knox, 17 September 1782","Washington, George","Knox, Henry",1782-09-17,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3511,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3511,59627,54321,Head Quarters,,,,,,,,,
FOEA-01-02-02-3516,"From George Washington to William Duer, 18 September 1782","Washington, George","Duer, William",1782-09-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3516,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3516,59627,51564,Head Quarters,,,,,,,,,
FOEA-01-02-02-3517,"From George Washington to John Lamb, 18 September 1782","Washington, George","Lamb, John",1782-09-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3517,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3517,59627,54388,Head Quarters,,,,,,,,,
FOEA-01-02-02-3519,"From George Washington to Thomas Paine, 18 September 1782","Washington, George","Paine, Thomas",1782-09-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3519,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3519,59627,56459,Head Quarters,,,,,,,,,
FOEA-01-02-02-3521,"From George Washington to William Lord Stirling Alexander, 18 September 1782","Washington, George","Alexander, William, Lord Stirling",1782-09-18,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3521,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3521,59627,48376,Head Quarters,,,,,,,,,
FOEA-01-02-02-3526,"From George Washington to David C. Claypoole, 19 September 1782","Washington, George","Claypoole, David Chambers",1782-09-19,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3526,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3526,59627,247107,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3527,"From George Washington to Benjamin Lincoln, 19 September 1782","Washington, George","Lincoln, Benjamin, Sr.",1782-09-19,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3527,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3527,59627,54763,Head Quarters,,,,,,,,,
FOEA-01-02-02-3528,"From George Washington to Robert R. Livingston, 19 September 1782","Washington, George","Livingston, Robert R.",1782-09-19,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3528,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3528,59627,54850,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3542,"From George Washington to Elisha Sheldon, 20 September 1782","Washington, George","Sheldon, Elisha",1782-09-20,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3542,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3542,59627,57983,"Verplanck's Point, Westchester County [N.Y.]",5144050,"41.15148, -73.75339",41.15148,-73.75339,US,United States,New York,Westchester County,United States > New York > Westchester County
FOEA-01-02-02-3545,"From George Washington to Louis-Philippe de Rigaud, marquis de Vaudreuil, 20 September 1782","Washington, George","Vaudreuil, Louis-Philippe de Rigaud, marquis de",1782-09-20,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3545,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3545,59627,59368,Head Quarters,,,,,,,,,
FOEA-01-02-02-3552,"From George Washington to John Hanson, 22 September 1782","Washington, George","Hanson, John",1782-09-22,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-3552,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-3552,59627,256332,Head Quarters,,,,,,,,,
